manufacturer,month,sales
Tesla,January,25000
Tesla,February,20000
Tesla,March,30000
Tesla,April,35000
Tesla,May,30000
Tesla,June,35000
Tesla,July,30000
Tesla,August,35000
Tesla,September,35000
Tesla,October,40000
Tesla,November,35000
Tesla,December,40000
Ford,January,5000
Ford,February,5000
Ford,March,10000
Ford,April,10000
Ford,May,10000
Ford,June,10000
Ford,July,10000
Ford,August,10000
Ford,September,10000
Ford,October,15000
Ford,November,15000
Ford,December,20000
Toyota,January,2500
Toyota,February,2500
Toyota,March,5000
Toyota,April,5000
Toyota,May,5000
Toyota,June,5000
Toyota,July,5000
Toyota,August,5000
Toyota,September,7500
Toyota,October,7500
Toyota,November,10000
Toyota,December,10000
